from	to
Старообрядческая церковь Успения Пресвятой Богородицы	Старообрядческая церковь Успения Пресвятой Богородицы
Танк (памятник)	Танк (памятник)
Терпение	Терпение
Троицкая церковь	Троицкая церковь
Троицкая церковь (1926)	Троицкая церковь (1926)
Троицкий костел	Троицкий костел
Униатская (греко-католическая) церковь Воскресения Христова	Униатская (греко-католическая) церковь Воскресения Христова
Успения Пресвятой Девы Марии	Успения Пресвятой Девы Марии
Успенская старообрядческая церковь	Успенская старообрядческая церковь
Успенский собор	Успенский собор
Усыпальница Свентаржэцких	Усыпальница Свентаржэцких
Фарный костёл Преображения Господнего	Фарный костёл Преображения Господнего
ХВЕ (50ники)	ХВЕ (50ники)
Хвошнянский православный приход Вознесения Христова (1906)	Хвошнянский православный приход Вознесения Христова (1906)
храм	храм
Храм	Храм
Храм Благовещения Пресвятой Богородицы	Храм Благовещения Пресвятой Богородицы
храм Воздвижения Креста Господня	храм Воздвижения Креста Господня
Храм Воздвижения Креста Господня	Храм Воздвижения Креста Господня
Храм Вознесения Господня	Храм Вознесения Господня
Храм во имя Всех святых	Храм во имя Всех святых
Храм Во Имя Всех Святых 1913 г.	Храм Во Имя Всех Святых 1913 г.
Храм Во Имя Св.Апостола Андрея Первозванного 1877Г.	Храм Во Имя Св.Апостола Андрея Первозванного 1877Г.
Храм Во Имя Св. Апостола Иоанна Богослова 1817Г.	Храм Во Имя Св. Апостола Иоанна Богослова 1817Г.
Храм Во Имя Св. Апостола Иоанна Богослова 1902Г.	Храм Во Имя Св. Апостола Иоанна Богослова 1902Г.
Храм Во Имя Св.Архистратига Михаила	Храм Во Имя Св.Архистратига Михаила
Храм во имя Св. Архистратига Михаила	Храм во имя Св. Архистратига Михаила
Храм Во Имя Св. Архистратига Михаила	Храм Во Имя Св. Архистратига Михаила
Храм во имя Св. Архистратига  Михаила	Храм во имя Св. Архистратига  Михаила
Храм Во Имя Св.Архистратига Михаила 1816Г.	Храм Во Имя Св.Архистратига Михаила 1816Г.
Храм Во Имя Св. Архистратига Михаила 1848Г.	Храм Во Имя Св. Архистратига Михаила 1848Г.
Храм Во Имя Св.Архистратига Михаила 1881Г.	Храм Во Имя Св.Архистратига Михаила 1881Г.
Храм во имя Св.благоверного кн.Александра Невского 1881г.	Храм во имя Св.благоверного кн.Александра Невского 1881г.
Храм Во Имя Св. Великомученика Георгия Победоносца	Храм Во Имя Св. Великомученика Георгия Победоносца
Храм Во Имя Св.  Великомученика Георгия Победоносца	Храм Во Имя Св.  Великомученика Георгия Победоносца
Храм во имя Св. Великомученика Георгия Победоносца 1863Г.	Храм во имя Св. Великомученика Георгия Победоносца 1863Г.
Храм Во Имя Св. Великомученика Георгия Победоносца 1863Г.	Храм Во Имя Св. Великомученика Георгия Победоносца 1863Г.
Храм Во Имя Св.Великомученика Георгия Побелоносца(Кладбищенский)	Храм Во Имя Св.Великомученика Георгия Побелоносца(Кладбищенский)
Храм Во Имя Св.Великомученицы Параскевы	Храм Во Имя Св.Великомученицы Параскевы
Храм Во Имя Св. Великомученицы Параскевы	Храм Во Имя Св. Великомученицы Параскевы
Храм Во Имя Св.Великомученицы Параскевы 1526Г.	Храм Во Имя Св.Великомученицы Параскевы 1526Г.
Храм Во Имя Св. Великомученицы  Параскевы 1794Г.	Храм Во Имя Св. Великомученицы  Параскевы 1794Г.
Храм Во Имя  Св. Великомученицы Параскевы 1895Г.	Храм Во Имя  Св. Великомученицы Параскевы 1895Г.
Храм Во Имя Св. Великомучкницы Екатерины 1822Г.	Храм Во Имя Св. Великомучкницы Екатерины 1822Г.
Храм Во Имя Св.Димитрия Солунского 1868Г.	Храм Во Имя Св.Димитрия Солунского 1868Г.
Храм во имя Св. Кирилла Туровского	Храм во имя Св. Кирилла Туровского
Храм Во Имя Св. Мученицы Параскевы 1815Г.	Храм Во Имя Св. Мученицы Параскевы 1815Г.
Храм Во Имя Св. Праведного Иоанна Крондштадского	Храм Во Имя Св. Праведного Иоанна Крондштадского
Храм Во Имя Св. Праведной Анны 1845Г.	Храм Во Имя Св. Праведной Анны 1845Г.
Храм во имя Св. Праведной Анны 1903Г.	Храм во имя Св. Праведной Анны 1903Г.
Храм Во Имя Св. Преподобного Антония 1817Г.	Храм Во Имя Св. Преподобного Антония 1817Г.
Храм во имя св. Преподобного Антония Великого	Храм во имя св. Преподобного Антония Великого
Храм во имя Св.Преподобномученика Афанасия Брестского	Храм во имя Св.Преподобномученика Афанасия Брестского
Храм Во Имя Св.Пророка Илии	Храм Во Имя Св.Пророка Илии
Храм Во Имя Св. Пророка Илии	Храм Во Имя Св. Пророка Илии
Храм во имя  Св. Пророка Илии 1861Г.	Храм во имя  Св. Пророка Илии 1861Г.
Храм Во Имя Св. Равноапостольного Кн. Владимира	Храм Во Имя Св. Равноапостольного Кн. Владимира
Храм Во Имя Св. Равноапостольного Князя Владимира	Храм Во Имя Св. Равноапостольного Князя Владимира
Храм Во Имя Св. Симеона 1873Г.	Храм Во Имя Св. Симеона 1873Г.
Храм Во Имя Св.Симеона 1914Г.	Храм Во Имя Св.Симеона 1914Г.
Храм Во Имя Святителя Николая Чудотворца	Храм Во Имя Святителя Николая Чудотворца
Храм Во Имя Святителя Николая  Чудотворца	Храм Во Имя Святителя Николая  Чудотворца
Храм во имя Святителя  Николая Чудотворца	Храм во имя Святителя  Николая Чудотворца
Храм Во Имя Святителя Николая Чудотворца 1666Г.	Храм Во Имя Святителя Николая Чудотворца 1666Г.
Храм во имя Святителя Николая Чудотворца 1801Г.	Храм во имя Святителя Николая Чудотворца 1801Г.
Храм Во Имя Святителя Николая Чудотворца 1811Г.	Храм Во Имя Святителя Николая Чудотворца 1811Г.
Храм Во Имя Святителя Николая Чудотворца 1882Г.	Храм Во Имя Святителя Николая Чудотворца 1882Г.
Храм Во Имя Святителя Николая Чудотворца 1886Г.	Храм Во Имя Святителя Николая Чудотворца 1886Г.
Храм во имя Святителя Николая Чудотворца 1903Г.	Храм во имя Святителя Николая Чудотворца 1903Г.
Храм Во Имя Святителя Николая Чудотворца 1903Г.	Храм Во Имя Святителя Николая Чудотворца 1903Г.
Храм Во Имя Святителя Николая Чудотворца 1905Г.	Храм Во Имя Святителя Николая Чудотворца 1905Г.
Храм Во Имя Святителя  Николая Чудотворца 1922Г.	Храм Во Имя Святителя  Николая Чудотворца 1922Г.
Храм Во Имя Святителя Николая Чудотворца 1924Г.	Храм Во Имя Святителя Николая Чудотворца 1924Г.
Храм Во Имя Святителя Николая Чудотворца 1925Г.	Храм Во Имя Святителя Николая Чудотворца 1925Г.
Храм во имя Святителя Николая Чудотворцать1937Г.	Храм во имя Святителя Николая Чудотворцать1937Г.
Храм Во Имя Святителя Николая Чудотврца	Храм Во Имя Святителя Николая Чудотврца
Храм Во Имя Святителя Николая Чудотврца 1914Г.	Храм Во Имя Святителя Николая Чудотврца 1914Г.
Храм Во Имя Святителя Тихона Московского	Храм Во Имя Святителя Тихона Московского
Храм во имя святого священномученика Фаддея	Храм во имя святого священномученика Фаддея
Храм во имя Святой Троицы 1836Г.	Храм во имя Святой Троицы 1836Г.
Храм Во Имя Святой Троицы 1842Г.	Храм Во Имя Святой Троицы 1842Г.
Храм Во Имя Святых Апостолов Петра И Павла 1675Г.	Храм Во Имя Святых Апостолов Петра И Павла 1675Г.
Храм Во Имя Святых Апостолов Петра И Павла 1849Г.	Храм Во Имя Святых Апостолов Петра И Павла 1849Г.
Храм Во Имя Святых Апостолов Петра И Павла 1877Г.	Храм Во Имя Святых Апостолов Петра И Павла 1877Г.
Храм Во Имя Святых Апостолов Петра И Павла 1910Г.	Храм Во Имя Святых Апостолов Петра И Павла 1910Г.
Храм Во Имя Святых Равноапостольных Кирилла И Мефодия 1899Г.	Храм Во Имя Святых Равноапостольных Кирилла И Мефодия 1899Г.
Храм во имя Сергия Радонежского	Храм во имя Сергия Радонежского
Храм Воскресения Христова	Храм Воскресения Христова
Храм в память об усекновении главы Св. Иоанна Предтечи	Храм в память об усекновении главы Св. Иоанна Предтечи
Храм в честь "Собора всех Белорусских Святых"	Храм в честь "Собора всех Белорусских Святых"
Храм в честь Воздвижения Креста Господня	Храм в честь Воздвижения Креста Господня
Храм В Честь Воздвижения Креста Господня	Храм В Честь Воздвижения Креста Господня
Храм В Честь Воздвижения Креста Господня(Кладбищенский)	Храм В Честь Воздвижения Креста Господня(Кладбищенский)
Храм В Честь Воздвижения Креста Господня 1838Г.	Храм В Честь Воздвижения Креста Господня 1838Г.
Храм В Честь Воздвижения Креста Господня 1872Г.	Храм В Честь Воздвижения Креста Господня 1872Г.
Храм В Честь Воздвижения Креста Господня 1898Г.	Храм В Честь Воздвижения Креста Господня 1898Г.
Храм В Честь Воздвижения Креста Господня 1903Г.	Храм В Честь Воздвижения Креста Господня 1903Г.
Храм В Честь Воздвижения Креста Господня 1914Г.	Храм В Честь Воздвижения Креста Господня 1914Г.
